what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193132156
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1345193133250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193133281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193135515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193140890
opened,view,com.altera.sbtgui.launch,12.0.0.232,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1345193143125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193151078
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1345193164781
activated,view,com.altera.sbtgui.launch,12.0.0.232,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1345193167718
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1345193171062
activated,view,com.altera.sbtgui.launch,12.0.0.232,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1345193176796
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1345193179031
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1345193179031
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1345193179718
activated,view,com.altera.sbtgui.launch,12.0.0.232,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1345193182937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193190265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193193812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193196640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193248906
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1345193249953
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1345193249953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193253781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193416968
activated,view,com.altera.sbtgui.launch,12.0.0.232,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1345193427453
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193428281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1345193446906
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1345193448000
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1345193452203
